,NATURAL_ACCURACY_W_NSA,ADVERSARIAL_ACCURACY_W_NSA,NATURAL_ACCURACY_WO_NSA,ADVERSARIAL_ACCURACY_WO_NSA,TOTAL_NUM_PER_CLS
Ahead only,1.0,0.9135802469135802,1.0,0.9012345679012346,81
General caution,1.0,0.7901234567901234,1.0,0.8024691358024691,81
Keep right,1.0,0.7028985507246377,1.0,0.8043478260869565,138
No entry,1.0,1.0,1.0,1.0,75
No passing,1.0,0.98989898989899,1.0,0.9797979797979798,99
No passing veh over 3.5 tons,1.0,0.8740740740740741,1.0,0.9925925925925926,135
No vehicles,1.0,0.7619047619047619,1.0,0.7857142857142857,42
Priority road,1.0,0.9645390070921985,1.0,0.9716312056737588,141
Right-of-way at intersection,1.0,0.9888888888888889,1.0,1.0,90
Road work,1.0,0.9901960784313726,1.0,0.9803921568627451,102
Speed limit (100km/h),1.0,0.8229166666666666,1.0,0.8958333333333334,96
Speed limit (120km/h),1.0,0.8333333333333334,1.0,0.9270833333333334,96
Speed limit (30km/h),1.0,0.92,1.0,0.9466666666666667,150
Speed limit (50km/h),1.0,0.9466666666666667,1.0,0.9466666666666667,150
Speed limit (60km/h),1.0,0.8020833333333334,1.0,0.8229166666666666,96
Speed limit (70km/h),1.0,0.946969696969697,1.0,0.9621212121212122,132
Speed limit (80km/h),1.0,0.9047619047619048,1.0,0.8650793650793651,126
Stop,1.0,1.0,1.0,1.0,54
Turn right ahead,1.0,1.0,1.0,0.9583333333333334,48
Wild animals crossing,1.0,0.9444444444444444,1.0,1.0,54
Yield,1.0,0.9305555555555556,1.0,0.9652777777777778,144
OVERALL,1.0,0.9042253521126759,1.0,0.9305164319248825,2130
